,1. open,2. high,3. low,4. close,5. volume
2025-12-17,965.0,978.5,965.0,975.9,569861.0
2025-12-16,967.95,969.0,958.8,961.4,222081.0
2025-12-15,959.95,969.3,957.05,967.15,118671.0
2025-12-12,964.05,967.0,958.0,962.9,205217.0
2025-12-11,963.95,966.45,958.25,963.4,1563506.0
2025-12-10,959.35,964.0,955.1,959.55,423587.0
2025-12-09,956.05,964.2,950.8,959.35,374212.0
2025-12-08,972.35,972.5,951.0,956.1,2120466.0
2025-12-05,948.8,972.8,946.8,971.4,511017.0
2025-12-04,951.7,952.55,944.1,948.05,2062068.0
2025-12-03,972.25,972.25,947.35,951.4,875186.0
2025-12-02,976.0,980.05,964.55,967.75,528774.0
2025-12-01,984.7,991.25,970.2,973.15,312355.0
2025-11-28,977.0,983.0,973.0,979.55,397881.0
2025-11-27,987.85,988.0,968.8,972.85,1490247.0
2025-11-26,987.4,999.1,982.2,984.05,412996.0
2025-11-25,976.0,988.9,971.5,983.2,243325.0
2025-11-24,974.2,977.85,967.7,970.3,444259.0
2025-11-21,979.95,980.55,971.0,972.6,188598.0
2025-11-20,988.95,988.95,979.0,981.7,1009998.0
2025-11-19,972.5,984.5,969.0,982.45,240778.0
2025-11-18,976.8,976.8,970.0,972.55,392640.0
2025-11-17,974.15,976.2,969.95,973.2,215607.0
2025-11-14,954.25,969.0,953.0,967.35,478259.0
2025-11-13,955.7,964.0,952.2,954.55,968319.0
2025-11-12,958.0,961.5,951.05,957.35,359053.0
2025-11-11,954.0,954.5,945.05,953.3,1406920.0
2025-11-10,955.95,963.0,949.15,951.85,387727.0
2025-11-07,959.95,964.5,944.0,955.95,582333.0
2025-11-06,966.35,971.15,955.3,960.75,1731058.0
2025-11-04,952.25,959.0,941.35,957.05,948033.0
2025-11-03,938.5,953.15,937.8,950.25,696733.0
2025-10-31,935.8,946.7,930.25,937.0,780748.0
2025-10-30,940.0,944.6,932.9,934.1,1338039.0
2025-10-29,932.6,941.65,930.3,939.8,1089247.0
2025-10-28,923.25,935.9,917.8,930.25,641738.0
2025-10-27,905.5,927.9,905.5,923.25,392249.0
2025-10-24,911.45,914.2,900.8,904.4,176431.0
2025-10-23,910.55,917.9,904.8,911.45,1321998.0
2025-10-20,893.7,913.4,891.55,906.85,835351.0
2025-10-17,886.25,894.6,882.6,889.35,436700.0
2025-10-16,886.75,891.9,882.5,886.9,1072968.0
2025-10-15,877.2,887.75,877.2,886.2,564545.0
2025-10-14,883.0,884.5,872.15,876.9,281465.0
2025-10-13,879.95,888.05,875.8,883.0,620211.0
2025-10-10,861.2,883.7,861.2,880.75,1334463.0
2025-10-09,861.25,865.65,858.25,862.1,1347934.0
2025-10-08,866.1,868.0,857.3,858.05,663817.0
2025-10-07,874.05,875.95,863.05,864.7,715720.0
2025-10-06,868.9,874.9,862.55,874.05,652683.0
2025-10-03,864.15,872.95,863.85,867.05,783340.0
2025-10-01,872.6,876.5,862.4,864.05,2208404.0
2025-09-30,870.45,877.5,867.85,872.55,229410.0
2025-09-29,857.05,873.0,855.9,870.5,533094.0
2025-09-26,861.05,864.15,852.5,857.0,342057.0
2025-09-25,865.85,870.05,859.55,861.05,804427.0
2025-09-24,875.2,880.4,864.55,865.85,450238.0
2025-09-23,851.1,874.0,851.1,870.5,388234.0
2025-09-22,862.9,868.0,853.9,855.05,266104.0
2025-09-19,852.5,863.5,849.05,862.25,552336.0
2025-09-18,856.7,860.9,851.05,854.45,719272.0
2025-09-17,833.25,858.0,831.0,856.95,1807341.0
